Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-February-2015,297.85,297.85,288.0,289.4,293.0306967290697,301107,7546,88233594.0,91256.0,30.31,9.85,-8.45
20-February-2015,297.45,299.5,292.75,295.3,294.8918902288296,942579,5964,277958903.0,718569.0,76.23,6.75,-2.15
19-February-2015,302.35,302.5,290.5,294.85,295.1811643966053,866423,7565,255751750.0,552670.0,63.79,12.0,-7.5
18-February-2015,302.4,304.65,299.95,301.25,302.27529858112433,375861,4675,113613496.0,239839.0,63.81,4.7,-1.15
16-February-2015,308.0,310.15,301.0,302.4,304.0546461189703,229385,9530,69745575.0,70741.0,30.84,9.15,-5.6
13-February-2015,302.0,310.8,302.0,307.45,308.01400478149907,235491,6673,72534526.0,41884.0,17.79,8.8,5.45
12-February-2015,305.0,306.4,301.2,304.95,303.9960303589289,288943,7372,87837525.0,66828.0,23.13,5.2,-0.05
11-February-2015,295.0,304.0,293.55,301.2,297.9979281511074,268842,7062,80114359.0,64820.0,24.11,10.45,6.2
10-February-2015,292.5,297.4,286.6,294.85,293.38163323739053,331795,8193,97342559.0,39263.0,11.83,10.8,2.35
9-February-2015,292.0,297.15,287.1,294.45,294.09759501928204,416968,11935,122629286.0,131824.0,31.61,10.05,2.45
6-February-2015,292.95,295.85,285.2,292.9,291.7754860440699,283822,7892,82812302.0,42174.0,14.86,10.65,-0.05
5-February-2015,296.75,303.4,290.0,293.1,298.51550593618623,475979,13567,142087112.0,106259.0,22.32,13.4,-3.65
4-February-2015,287.0,297.4,284.6,294.3,293.2914517749622,673789,17281,197616554.0,174130.0,25.84,12.8,7.3
3-February-2015,285.0,298.55,280.35,285.6,290.08013280569475,974657,24684,282728632.0,149562.0,15.35,18.2,0.6
2-February-2015,307.5,308.2,283.7,286.25,295.0107777864541,589082,14235,173785539.0,176014.0,29.88,24.5,-21.25
